rule_num,rule_count,AUC,precision_curve,MAP
RC01643,2,0.000000,1-0.0;2-0.5,0.333333
RC00990,2,0.500000,1-1.0;2-0.5,0.333333
RC02993,2,1.000000,1-1.0;2-1.0,0.333333
RC03288,2,1.000000,1-1.0;2-1.0,0.333333
RC02569,2,1.000000,1-1.0;2-1.0,0.333333
RC01336,2,1.000000,1-1.0;2-1.0,0.333333
RC02765,2,1.000000,1-1.0;2-1.0,0.333333
RC03112,2,1.000000,1-1.0;2-1.0,0.333333
RC01463,2,1.000000,1-1.0;2-1.0,0.333333
RC01785,2,1.000000,1-1.0;2-1.0,0.333333
RC01469,2,1.000000,1-1.0;2-1.0,0.666667
RC02580,2,1.000000,1-1.0;2-1.0,0.333333
RC02440,2,1.000000,1-1.0;2-1.0,0.666667
RC00826,2,0.500000,1-0.0;2-0.5;4-0.5,0.375000
RC03300,2,1.000000,1-1.0;2-1.0,0.333333
RC00635,2,1.000000,1-1.0;2-1.0,0.333333
RC01338,2,1.000000,1-1.0;2-1.0,0.333333
RC02233,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01903,2,0.500000,1-1.0;2-0.5;4-0.5,0.375000
RC02343,2,1.000000,1-1.0;2-1.0,0.333333
RC02521,2,0.500000,1-1.0;2-1.0;4-0.5,0.500000
RC01173,2,1.000000,1-1.0;2-1.0,0.333333
RC00424,2,1.000000,1-1.0;2-1.0,0.333333
RC00802,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC03304,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01151,2,0.000000,1-0.0;2-0.0;4-0.5,0.250000
RC02393,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00433,2,1.000000,1-1.0;2-1.0,0.666667
RC00853,2,0.500000,1-1.0;2-0.5,0.333333
RC01312,2,0.500000,1-1.0;2-0.5,0.333333
RC03094,2,1.000000,1-1.0;2-1.0,0.333333
RC02676,2,0.000000,1-0.0;2-0.5,0.333333
RC02374,2,0.750000,1-1.0;2-1.0,0.333333
RC02232,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01351,2,1.000000,1-1.0;2-1.0,0.333333
RC00584,2,1.000000,1-1.0;2-1.0,0.333333
RC02779,2,1.000000,1-1.0;2-1.0,0.333333
RC01450,2,0.500000,1-0.0;2-0.5;4-0.5,0.500000
RC02391,2,0.750000,1-1.0;2-1.0,0.333333
RC00848,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC03177,2,1.000000,1-1.0;2-1.0,0.333333
RC01809,2,1.000000,1-1.0;2-1.0,0.333333
RC01411,2,1.000000,1-1.0;2-1.0,0.333333
RC01145,2,1.000000,1-1.0;2-1.0,0.666667
RC02475,2,1.000000,1-1.0;2-1.0,0.333333
RC02085,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02455,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC01415,2,1.000000,1-1.0;2-1.0,0.333333
RC01679,2,0.500000,1-1.0;2-0.5,0.333333
RC03262,2,1.000000,1-1.0;2-1.0,0.333333
RC02789,2,1.000000,1-1.0;2-1.0,0.333333
RC01673,2,0.500000,1-1.0;2-0.5,0.333333
RC03325,2,0.500000,1-1.0;2-0.5,0.500000
RC00297,2,1.000000,1-1.0;2-1.0,0.333333
RC01838,2,0.500000,1-1.0;2-0.5,0.333333
RC02557,2,1.000000,1-1.0;2-1.0,0.333333
RC01927,2,1.000000,1-1.0;2-1.0,0.333333
RC02328,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC02579,2,1.000000,1-1.0;2-1.0,0.333333
RC00678,2,0.500000,1-1.0;2-0.5,0.333333
RC03299,2,0.125000,1-0.0;2-0.5;4-0.5,0.250000
RC03530,2,1.000000,1-1.0;2-1.0,0.333333
RC02520,2,0.250000,1-0.0;2-0.5;4-0.5,0.500000
RC01407,2,0.500000,1-1.0;2-0.5,0.333333
RC03051,2,1.000000,1-1.0;2-1.0,0.333333
RC00832,2,1.000000,1-1.0;2-1.0,0.333333
RC03195,2,1.000000,1-1.0;2-1.0,0.333333
RC00404,2,0.750000,1-1.0;2-0.5;4-0.5,0.375000
RC01329,2,1.000000,1-1.0;2-1.0,0.333333
RC03272,2,1.000000,1-1.0;2-1.0,0.333333
RC00508,2,1.000000,1-1.0;2-1.0,0.333333
RC00846,2,0.500000,1-0.0;2-0.5;4-0.5,0.250000
RC01495,2,1.000000,1-1.0;2-1.0,0.333333
RC00505,2,1.000000,1-1.0;2-1.0,0.333333
RC00812,2,1.000000,1-1.0;2-1.0,0.333333
RC01907,2,1.000000,1-1.0;2-1.0,0.333333
RC02024,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC00500,2,1.000000,1-1.0;2-1.0,0.333333
RC02181,2,1.000000,1-1.0;2-1.0,0.333333
RC02933,2,1.000000,1-1.0;2-1.0,0.333333
RC02180,2,1.000000,1-1.0;2-1.0,0.333333
RC00317,2,1.000000,1-1.0;2-1.0;4-0.5,0.500000
RC01129,2,0.750000,1-1.0;2-0.5;4-0.5,0.375000
RC02478,2,1.000000,1-1.0;2-1.0,0.333333
RC00690,2,1.000000,1-1.0;2-1.0,0.333333
RC01396,2,1.000000,1-1.0;2-1.0,0.333333
RC02443,2,1.000000,1-1.0;2-1.0,0.333333
